no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
2,0,1,0,3,0,0,0,2018,9,25,4,0,0.0,0.0,160.0,0,1
2,0,0,2,3,0,0,18,2018,3,18,4,0,0.0,0.0,97.0,1,0
2,0,1,2,0,0,0,110,2018,7,11,4,0,0.0,0.0,108.3,0,1
2,0,2,2,0,1,3,8,2018,10,7,4,0,0.0,0.0,179.0,2,1
2,0,2,5,0,0,0,11,2018,8,13,4,0,0.0,0.0,143.86,1,1
1,0,2,5,1,0,0,125,2018,7,18,3,0,0.0,0.0,68.0,0,1
2,1,1,1,0,0,0,133,2018,7,11,4,0,0.0,0.0,126.0,0,1
2,0,2,1,3,0,0,32,2018,9,25,4,0,0.0,0.0,99.0,1,1
2,0,2,2,0,0,0,2,2018,5,15,3,0,0.0,0.0,81.75,1,1
2,0,2,3,0,0,3,47,2018,10,15,4,0,0.0,0.0,95.48,2,1
2,0,0,4,0,0,3,7,2018,8,24,4,0,0.0,0.0,101.45,1,0
1,0,1,2,0,0,0,141,2018,8,22,4,0,0.0,0.0,77.62,0,1
2,0,2,2,0,0,0,86,2018,4,9,3,0,0.0,0.0,80.75,1,1
3,0,1,3,0,0,0,14,2018,2,22,3,0,0.0,0.0,118.0,1,1
3,0,2,5,1,0,3,98,2018,8,12,4,0,0.0,0.0,212.4,2,0
2,0,0,3,0,0,3,78,2018,12,27,4,0,0.0,0.0,114.9,2,1
2,0,0,4,0,0,3,86,2018,4,6,4,0,0.0,0.0,93.08,1,1
2,0,2,0,1,0,0,61,2017,10,4,4,0,0.0,0.0,35.2,0,0
2,0,1,0,3,0,0,92,2018,9,19,4,0,0.0,0.0,125.1,2,1
2,0,2,5,0,0,3,157,2018,10,1,4,0,0.0,0.0,132.3,0,0
2,0,2,3,0,0,0,50,2018,1,24,4,0,0.0,0.0,58.94,1,1
1,0,1,1,1,0,0,7,2018,5,21,3,0,0.0,0.0,91.0,1,1
2,0,0,3,0,0,3,61,2018,4,7,4,0,0.0,0.0,118.8,0,1
3,0,2,5,0,0,3,126,2018,8,1,4,0,0.0,0.0,140.27,0,0
1,0,0,1,0,1,0,0,2018,4,20,2,1,0.0,1.0986122886681098,65.0,0,1
2,0,2,5,0,0,0,185,2018,7,18,4,0,0.0,0.0,90.95,0,0
2,0,0,1,0,0,0,33,2018,11,26,4,0,0.0,0.0,113.0,1,1
2,0,0,4,3,0,0,15,2018,11,1,4,0,0.0,0.0,85.0,2,1
2,0,2,4,0,1,0,8,2018,1,2,4,0,0.0,0.0,89.2,0,1
1,0,0,1,0,0,0,2,2017,9,9,2,0,0.0,0.0,65.0,0,1
2,0,0,4,0,0,0,35,2018,8,30,4,0,0.0,0.0,119.0,2,1
3,0,0,1,0,0,3,115,2018,8,6,4,0,0.0,0.0,146.7,0,0
2,0,0,1,3,0,0,106,2018,7,15,4,0,0.0,0.0,94.5,0,0
2,0,0,2,0,0,0,2,2017,9,30,4,0,0.0,0.0,126.0,1,1
1,1,1,1,0,0,0,61,2018,7,23,4,0,0.0,0.0,121.5,0,0
2,1,0,3,0,0,0,184,2018,10,4,4,0,0.0,0.0,125.1,0,0
2,0,1,5,0,0,1,75,2017,10,20,3,0,0.0,0.0,67.83,0,1
2,0,2,5,1,0,4,33,2018,9,1,4,0,0.0,0.0,143.94,0,1
2,1,1,2,0,0,0,290,2018,6,17,3,0,0.0,0.0,89.5,1,1
2,0,2,1,0,0,3,21,2018,2,27,4,0,0.0,0.0,112.67,0,0
2,1,1,0,0,0,3,53,2018,3,6,4,0,0.0,0.0,91.48,1,1
2,0,1,2,3,0,0,121,2018,11,14,4,0,0.0,0.0,79.2,0,0
2,0,0,3,0,0,3,69,2017,12,3,3,0,0.0,0.0,60.0,0,1
2,0,0,2,0,0,0,0,2018,5,13,3,0,0.0,0.0,90.0,0,1
2,0,2,0,0,0,1,9,2018,1,17,4,0,0.0,0.0,86.25,0,1
2,0,0,3,0,0,0,24,2017,9,22,4,0,0.0,0.0,95.48,1,1
2,0,0,1,0,0,0,43,2017,10,23,4,0,0.0,0.0,0.0,0,1
2,0,0,2,0,0,3,28,2018,9,28,4,0,0.0,0.0,163.0,1,1
2,0,0,3,0,1,0,4,2018,3,24,4,0,0.0,0.0,156.67,1,1
2,0,1,3,0,0,0,153,2018,10,17,4,0,0.0,0.0,118.8,2,0
2,0,2,1,3,0,0,34,2018,6,19,4,0,0.0,0.0,98.1,0,0
2,0,1,3,0,0,0,143,2018,9,22,4,0,0.0,0.0,129.6,0,0
3,0,2,2,0,0,0,167,2018,8,12,4,0,0.0,0.0,130.05,0,0
4,0,2,1,0,0,6,21,2018,7,17,4,0,0.0,0.0,299.33,0,0
2,0,1,1,3,0,0,14,2018,1,23,4,0,0.0,0.0,69.5,1,1
2,0,0,1,0,0,3,62,2018,5,7,4,0,0.0,0.0,140.4,0,0
2,0,1,3,0,0,0,115,2017,9,10,4,0,0.0,0.0,89.25,0,1
1,0,0,1,0,0,0,41,2017,10,28,4,0,0.0,0.0,120.0,3,1
2,1,1,1,0,1,3,64,2018,8,8,4,0,0.0,0.0,161.1,0,1
2,0,2,4,3,0,0,34,2017,9,13,4,0,0.0,0.0,94.95,1,1
2,1,2,2,0,0,0,33,2018,5,1,4,0,0.0,0.0,143.1,0,0
2,1,1,4,0,0,0,50,2018,2,22,4,0,0.0,0.0,69.57,2,1
3,0,0,2,0,0,3,11,2018,6,1,4,0,0.0,0.0,141.95,2,1
1,0,1,1,0,0,0,16,2018,2,6,4,0,0.0,0.0,85.0,0,0
2,0,2,1,1,0,0,38,2018,11,26,4,0,0.0,0.0,103.87,1,1
2,0,1,2,3,0,0,16,2018,6,17,4,0,0.0,0.0,129.0,0,0
2,0,2,1,3,0,0,133,2018,10,2,4,0,0.0,0.0,108.0,0,0
2,0,1,4,0,0,0,21,2018,10,31,4,0,0.0,0.0,109.6,1,1
1,0,0,2,0,0,0,6,2018,9,15,4,0,0.0,0.0,159.0,1,0
3,0,1,1,0,0,3,99,2018,8,8,4,0,0.0,0.0,150.3,2,1
2,0,4,10,0,0,3,232,2018,8,29,4,0,0.0,0.0,104.13,1,0
1,0,0,1,0,0,0,2,2018,1,27,1,1,0.0,1.6094379124341003,0.0,1,1
2,1,0,2,0,1,0,4,2018,10,25,4,0,0.0,0.0,169.0,1,1
2,1,2,1,0,0,3,137,2018,2,7,3,0,0.0,0.0,77.0,2,1
2,0,1,3,0,0,0,78,2018,5,19,3,0,0.0,0.0,100.0,0,1
1,0,0,2,0,0,3,2,2018,3,31,4,0,0.0,0.0,147.0,0,1
2,0,1,1,0,0,0,26,2018,7,2,4,0,0.0,0.0,151.0,1,0
1,0,2,3,0,0,0,3,2018,3,3,4,0,0.0,0.0,102.0,2,1
2,0,2,3,1,0,1,48,2017,10,25,3,0,0.0,0.0,112.88,0,1
2,0,2,2,0,0,0,175,2018,7,15,4,0,0.0,0.0,90.95,1,1
1,0,0,1,3,0,0,28,2018,11,2,4,0,0.0,0.0,120.0,0,1
2,0,2,5,0,0,0,10,2017,8,31,3,0,0.0,0.0,85.0,0,1
2,0,1,3,0,0,0,228,2018,10,17,4,0,0.0,0.0,90.95,2,0
3,0,0,4,0,0,3,72,2018,12,20,4,0,0.0,0.0,119.0,2,1
2,0,2,3,3,0,0,247,2018,11,19,4,0,0.0,0.0,63.75,0,0
2,0,2,3,0,0,0,7,2018,11,27,4,0,0.0,0.0,89.59,1,1
2,0,0,1,0,0,0,228,2018,6,4,4,0,0.0,0.0,73.6,1,0
2,0,2,3,0,0,0,51,2017,12,25,4,0,0.0,0.0,93.0,1,1
2,0,1,0,3,0,0,52,2018,8,28,4,0,0.0,0.0,99.0,3,1
2,0,2,1,3,0,0,86,2018,4,10,4,0,0.0,0.0,94.5,1,0
2,0,2,2,0,0,3,40,2018,12,30,4,0,0.0,0.0,185.28,0,0
2,0,2,3,0,0,3,96,2018,5,12,4,0,0.0,0.0,132.6,1,0
2,0,1,2,3,0,0,48,2018,10,17,4,0,0.0,0.0,126.0,1,0
2,0,0,3,0,0,0,243,2017,9,1,4,0,0.0,0.0,65.29,0,0
2,0,0,2,0,0,0,0,2018,2,25,4,0,0.0,0.0,91.0,0,0
2,0,1,3,0,0,3,15,2018,2,29,4,0,0.0,0.0,85.55,1,1
2,0,1,2,0,0,1,97,2017,10,19,4,0,0.0,0.0,68.65,2,1
2,0,1,0,0,0,0,258,2018,10,16,4,0,0.0,0.0,110.0,0,0
2,0,2,1,0,0,0,127,2018,5,22,4,0,0.0,0.0,105.3,0,0
3,0,2,3,0,0,0,66,2017,12,31,4,0,0.0,0.0,111.92,0,1
3,0,0,1,0,0,3,163,2018,9,23,4,0,0.0,0.0,159.3,0,0
2,0,2,9,0,0,3,156,2018,10,26,4,0,0.0,0.0,104.32,1,0
2,0,0,3,3,0,0,26,2018,11,2,4,0,0.0,0.0,100.0,2,1
2,0,2,3,1,0,0,12,2018,2,14,4,0,0.0,0.0,129.0,2,1
2,0,0,2,0,1,0,2,2018,1,22,4,0,0.0,0.0,98.0,1,1
2,2,2,2,0,0,5,125,2018,6,3,4,0,0.0,0.0,187.85,1,1
2,1,0,3,0,0,0,192,2018,8,9,4,0,0.0,0.0,121.5,1,0
1,0,1,4,0,0,0,18,2018,6,13,4,0,0.0,0.0,92.4,1,1
1,0,0,1,0,0,0,1,2018,2,24,4,0,0.0,0.0,91.0,0,1
2,2,2,3,0,1,5,50,2018,12,3,4,0,0.0,0.0,156.9,1,1
2,1,2,5,0,0,0,101,2018,12,21,4,0,0.0,0.0,122.0,2,0
2,0,0,2,0,0,0,59,2018,11,11,3,0,0.0,0.0,75.0,0,1
2,0,0,1,0,0,0,0,2018,4,20,4,0,0.0,0.0,69.99,0,1
2,0,2,2,3,0,0,12,2018,1,15,4,0,0.0,0.0,77.0,0,1
2,0,0,1,3,0,0,159,2018,8,26,4,0,0.0,0.0,85.5,0,0
2,0,0,3,0,0,0,158,2018,7,7,4,0,0.0,0.0,114.3,0,0
2,0,2,1,3,0,0,67,2017,12,5,4,0,0.0,0.0,95.4,2,1
2,0,0,4,0,0,0,24,2018,1,12,4,0,0.0,0.0,89.0,2,1
2,0,0,4,0,0,3,47,2018,4,12,4,0,0.0,0.0,114.33,1,1
1,0,2,3,0,0,0,6,2018,11,6,4,0,0.0,0.0,164.2,2,1
2,0,0,1,0,0,3,62,2018,5,7,4,0,0.0,0.0,159.3,2,1
3,0,0,2,0,0,3,11,2018,2,5,4,0,0.0,0.0,129.0,2,1
2,0,0,1,0,0,0,92,2017,7,31,4,0,0.0,0.0,76.5,1,0
2,0,0,1,0,0,3,9,2018,5,5,4,0,0.0,0.0,156.0,0,0
2,0,0,1,3,0,0,15,2018,6,23,4,0,0.0,0.0,89.0,1,0
2,0,1,0,3,0,0,4,2018,8,1,4,0,0.0,0.0,87.2,0,1
1,0,1,2,0,0,0,3,2018,1,18,2,1,0.0,2.1972245773362196,66.0,0,1
2,0,1,0,0,0,0,34,2018,9,26,4,0,0.0,0.0,117.0,0,1
2,0,1,5,0,0,0,40,2017,10,19,4,0,0.0,0.0,104.85,1,1
2,0,2,1,3,0,0,43,2018,12,25,4,0,0.0,0.0,88.0,2,1
2,0,2,2,0,0,0,5,2018,9,17,4,0,0.0,0.0,166.5,1,0
2,0,1,3,1,0,0,101,2018,7,4,3,0,0.0,0.0,102.25,0,1
1,0,0,2,3,0,0,33,2018,11,11,4,0,0.0,0.0,110.0,1,1
2,0,0,2,0,0,3,60,2018,9,2,4,0,0.0,0.0,123.3,0,0
3,0,2,5,0,0,3,147,2018,8,11,4,0,0.0,0.0,138.55,1,1
2,0,0,3,0,0,0,51,2017,9,24,3,0,0.0,0.0,121.2,0,1
2,0,2,1,0,0,0,55,2018,1,31,3,0,0.0,0.0,60.0,1,1
2,0,2,1,0,0,1,278,2018,7,16,4,0,0.0,0.0,94.95,0,0
2,0,2,5,0,0,1,115,2018,9,29,4,0,0.0,0.0,114.36,1,1
2,0,2,2,3,0,0,60,2018,12,23,4,0,0.0,0.0,74.8,0,0
1,0,0,1,0,0,0,3,2018,7,21,2,0,0.0,0.0,67.0,0,1
2,1,2,2,0,0,0,2,2018,2,12,3,0,0.0,0.0,102.0,1,1
3,0,2,2,0,0,3,60,2018,12,23,4,0,0.0,0.0,130.9,0,0
2,0,1,4,0,0,0,287,2018,10,19,4,0,0.0,0.0,90.95,1,1
2,0,4,6,0,0,0,187,2018,8,6,4,0,0.0,0.0,99.45,1,0
2,0,0,1,0,0,0,16,2018,4,22,4,0,0.0,0.0,117.0,0,0
2,0,0,1,0,0,3,0,2017,9,17,4,0,0.0,0.0,200.0,1,0
1,0,1,2,3,0,0,100,2018,4,25,4,0,0.0,0.0,80.1,0,1
2,0,0,2,0,0,0,42,2018,11,25,4,0,0.0,0.0,74.88,0,1
1,0,0,2,0,0,0,1,2017,9,9,4,0,0.0,0.0,114.0,0,1
2,0,0,1,0,0,0,73,2018,5,7,4,0,0.0,0.0,126.9,0,0
1,0,0,2,0,0,0,70,2018,8,31,4,0,0.0,0.0,121.5,0,0
2,0,0,1,0,0,3,23,2017,10,9,3,0,0.0,0.0,96.3,0,1
2,0,0,1,0,0,5,17,2018,12,31,4,0,0.0,0.0,208.0,0,1
2,0,2,5,0,0,0,51,2017,9,16,3,0,0.0,0.0,75.6,1,1
2,0,0,4,0,0,0,16,2018,3,9,4,0,0.0,0.0,100.0,2,1
2,0,0,1,3,0,0,35,2018,11,22,4,0,0.0,0.0,79.2,1,1
2,0,2,5,0,0,0,205,2018,6,20,3,0,0.0,0.0,80.24,0,0
2,0,0,3,3,0,0,64,2018,4,12,4,0,0.0,0.0,94.5,0,0
2,0,0,1,3,0,0,0,2018,3,30,4,0,0.0,0.0,80.1,0,1
2,0,0,3,0,0,3,54,2018,3,31,4,0,0.0,0.0,104.4,1,1
1,0,0,1,0,0,0,4,2018,8,2,4,0,0.0,0.0,121.0,1,1
2,0,2,2,0,0,3,52,2018,10,28,4,0,0.0,0.0,120.6,1,1
2,2,2,4,0,0,5,54,2018,4,29,4,0,0.0,0.0,187.85,0,0
2,0,0,2,3,0,0,17,2018,12,16,4,0,0.0,0.0,88.0,0,1
1,0,0,0,0,0,0,2,2017,9,25,4,0,0.0,0.0,0.0,0,1
2,0,2,2,0,0,0,123,2018,11,6,4,0,0.0,0.0,151.43,1,1
2,0,0,2,0,0,0,14,2017,10,15,4,0,0.0,0.0,97.02,2,1
2,0,0,2,3,0,0,65,2018,3,18,4,0,0.0,0.0,94.5,0,0
2,0,0,2,0,0,0,50,2018,11,11,4,0,0.0,0.0,97.2,1,1
2,0,2,2,3,0,0,97,2018,11,27,4,0,0.0,0.0,74.8,1,0
2,0,2,5,3,0,0,49,2018,11,19,4,0,0.0,0.0,74.8,0,0
2,0,0,2,0,0,0,1,2018,2,25,4,0,0.0,0.0,102.0,1,1
2,0,0,1,3,0,0,1,2018,4,16,4,0,0.0,0.0,89.0,1,1
1,0,1,0,3,0,0,0,2017,10,18,4,0,0.0,0.0,87.78,0,1
2,0,1,1,0,0,2,116,2018,6,11,4,0,0.0,0.0,80.75,0,0
1,0,1,2,0,0,3,3,2018,9,19,0,0,0.0,0.0,110.0,0,1
1,0,0,3,0,0,0,7,2018,1,19,4,0,0.0,0.0,77.5,1,1
3,0,2,3,0,0,0,151,2018,7,29,4,0,0.0,0.0,133.45,2,0
2,0,0,4,0,0,3,148,2018,5,18,4,0,0.0,0.0,86.43,1,1
2,0,2,1,0,0,0,59,2018,5,8,3,0,0.0,0.0,85.5,0,1
1,1,3,9,3,0,0,223,2018,8,31,4,0,0.0,0.0,86.2,0,0
1,0,0,1,0,0,0,64,2018,4,1,4,0,0.0,0.0,80.1,0,1
2,0,1,0,0,1,1,6,2017,12,7,4,0,0.0,0.0,105.25,0,1
2,0,2,3,0,0,0,171,2018,8,11,3,0,0.0,0.0,72.25,2,1
0,2,0,3,0,0,1,76,2018,9,21,4,0,0.0,0.0,127.38,3,1
2,0,0,1,0,0,3,21,2017,10,8,4,0,0.0,0.0,117.0,1,0
2,0,0,3,0,0,0,142,2018,8,24,4,0,0.0,0.0,99.3,0,1
2,0,0,2,0,0,5,54,2018,10,6,4,0,0.0,0.0,190.8,3,1
2,0,1,3,0,0,0,69,2018,11,17,4,0,0.0,0.0,92.23,1,1
1,0,0,3,0,0,0,92,2018,6,16,4,0,0.0,0.0,135.9,1,1
1,0,1,2,0,0,0,39,2018,6,20,4,0,0.0,0.0,94.5,2,1
2,1,0,1,0,0,1,217,2017,8,7,4,0,0.0,0.0,76.5,2,0
2,1,2,1,0,0,0,25,2018,4,16,4,0,0.0,0.0,127.67,2,1
2,0,0,2,0,0,0,29,2018,12,2,2,0,0.0,0.0,85.0,1,1
2,0,1,3,1,0,3,9,2018,5,9,4,0,0.0,0.0,179.0,1,1
2,0,0,1,0,0,0,23,2018,6,15,4,0,0.0,0.0,114.75,0,0
2,0,1,3,0,0,0,42,2018,11,24,3,0,0.0,0.0,68.0,0,1
2,0,1,0,3,0,0,145,2018,6,27,4,0,0.0,0.0,85.5,1,1
1,0,1,0,0,0,4,111,2018,10,10,3,0,0.0,0.0,120.0,0,0
1,0,1,2,0,0,0,3,2018,9,12,2,1,1.3862943611198906,3.8066624897703196,67.0,0,1
3,0,1,1,0,0,3,98,2017,7,25,4,0,0.0,0.0,124.25,1,0
2,0,0,1,0,0,0,0,2018,6,3,4,0,0.0,0.0,120.0,0,1
2,0,0,1,3,0,0,0,2018,12,23,4,0,0.0,0.0,80.0,0,1
2,0,0,1,3,0,0,41,2018,10,27,4,0,0.0,0.0,109.0,2,1
2,0,0,2,0,0,3,19,2018,3,4,4,0,0.0,0.0,111.0,0,0
2,0,2,6,0,0,0,153,2018,6,7,4,0,0.0,0.0,111.78,0,0
1,0,2,5,0,0,3,29,2017,9,17,3,0,0.0,0.0,59.29,0,1
2,0,2,5,0,0,0,72,2018,11,19,3,0,0.0,0.0,72.0,1,1
2,0,2,1,1,0,0,30,2018,3,5,3,0,0.0,0.0,117.0,0,1
2,0,2,1,3,0,0,19,2018,10,2,4,0,0.0,0.0,116.1,0,0
2,0,2,0,3,0,0,84,2018,10,30,4,0,0.0,0.0,80.1,2,1
2,0,0,4,0,0,3,234,2018,10,25,4,0,0.0,0.0,103.7,1,0
2,1,2,3,0,0,0,17,2018,11,27,4,0,0.0,0.0,83.2,0,0
2,0,2,2,0,0,0,24,2017,12,26,3,0,0.0,0.0,58.0,1,1
2,0,0,4,0,0,0,15,2018,6,1,4,0,0.0,0.0,120.18,1,1
1,0,0,2,0,0,0,164,2018,7,1,4,0,0.0,0.0,90.9,1,1
2,0,0,2,0,0,0,112,2018,6,2,3,0,0.0,0.0,100.0,0,0
1,0,0,2,0,0,3,3,2018,10,27,0,0,0.0,0.0,110.0,0,1
2,1,1,4,0,0,0,139,2018,7,11,4,0,0.0,0.0,116.45,0,0
2,0,1,2,3,0,0,64,2018,3,11,4,0,0.0,0.0,51.97,1,1
2,0,2,2,0,0,3,126,2018,5,15,4,0,0.0,0.0,107.95,3,1
2,0,1,2,0,0,0,117,2018,10,24,3,0,0.0,0.0,80.75,0,1
2,0,2,5,0,0,0,77,2018,3,22,4,0,0.0,0.0,87.31,0,1
2,0,2,5,0,0,0,245,2018,12,27,4,0,0.0,0.0,58.36,1,0
2,0,1,3,0,0,3,61,2017,11,12,4,0,0.0,0.0,81.9,1,1
2,0,2,1,3,0,0,51,2018,8,6,4,0,0.0,0.0,125.1,2,1
2,0,0,3,0,0,3,95,2018,10,20,4,0,0.0,0.0,132.3,0,0
3,0,1,3,1,0,4,5,2018,8,4,4,0,0.0,0.0,228.8,0,0
1,0,0,2,0,0,0,16,2018,10,5,3,0,0.0,0.0,138.0,1,1
1,0,0,3,0,0,0,34,2017,12,1,2,0,0.0,0.0,80.0,0,1
2,0,1,3,0,0,5,20,2018,12,22,4,0,0.0,0.0,147.9,0,1
2,0,0,2,0,0,0,267,2018,10,25,3,0,0.0,0.0,80.75,0,1
2,0,1,2,3,0,0,35,2018,4,22,4,0,0.0,0.0,94.5,0,1
3,0,1,1,0,0,3,22,2018,4,30,4,0,0.0,0.0,172.0,0,0
1,0,2,3,0,0,0,192,2017,9,25,4,0,0.0,0.0,0.0,0,1
2,0,0,4,3,0,0,89,2018,11,16,4,0,0.0,0.0,57.6,0,0
2,0,1,4,0,0,0,30,2018,1,6,3,0,0.0,0.0,60.0,0,1
2,0,0,3,0,0,0,46,2018,12,8,4,0,0.0,0.0,102.6,2,1
2,0,2,7,0,0,0,148,2018,4,29,4,0,0.0,0.0,71.37,0,1
1,0,0,1,0,0,0,15,2018,10,13,2,0,0.0,0.0,65.0,0,1
2,0,0,1,0,0,0,10,2018,8,24,4,0,0.0,0.0,140.0,3,1
2,0,0,1,3,0,0,70,2018,9,15,4,0,0.0,0.0,125.1,1,1
2,0,0,2,3,0,0,70,2018,10,18,4,0,0.0,0.0,97.2,2,1
2,0,2,3,0,0,0,29,2018,3,10,4,0,0.0,0.0,100.28,1,1
3,0,0,3,0,0,0,74,2018,12,27,3,0,0.0,0.0,92.65,0,1
1,0,0,1,0,0,0,39,2018,5,21,4,0,0.0,0.0,121.5,0,0
2,0,2,1,0,0,0,69,2018,9,11,4,0,0.0,0.0,135.9,1,1
3,0,1,2,0,0,3,229,2018,12,9,4,0,0.0,0.0,110.7,0,1
2,1,2,2,0,0,0,107,2018,5,22,4,0,0.0,0.0,135.15,2,1
2,0,1,0,0,0,3,7,2018,6,19,4,0,0.0,0.0,165.0,2,1
1,0,0,2,0,0,0,111,2017,7,22,4,0,0.0,0.0,55.96,1,1
2,0,2,0,0,0,0,133,2018,9,4,3,0,0.0,0.0,97.92,0,1
1,0,0,1,0,0,0,9,2017,10,30,3,0,0.0,0.0,95.0,0,1
2,0,2,1,3,0,0,73,2018,4,3,4,0,0.0,0.0,76.5,0,0
2,0,1,2,0,0,0,108,2017,8,24,4,0,0.0,0.0,76.5,1,1
2,0,1,2,0,0,0,105,2018,4,18,3,0,0.0,0.0,80.75,0,1
1,0,0,1,0,0,4,4,2018,7,8,2,1,0.0,3.258096538021482,106.0,0,1
2,0,0,3,0,0,0,56,2018,6,21,4,0,0.0,0.0,76.92,1,1
2,0,2,1,0,0,0,6,2017,10,10,3,1,0.6931471805599453,0.0,65.0,0,1
2,0,0,1,0,0,0,122,2018,4,15,3,0,0.0,0.0,85.0,0,1
1,0,1,0,3,0,0,23,2018,1,11,4,0,0.0,0.0,61.0,0,1
2,0,0,2,3,0,0,0,2018,4,22,4,0,0.0,0.0,119.0,0,1
3,0,1,1,0,0,0,159,2018,4,9,3,0,0.0,0.0,100.0,1,1
2,0,0,3,0,0,0,77,2017,11,12,4,0,0.0,0.0,72.25,1,1
2,0,2,3,0,0,0,231,2018,12,30,4,0,0.0,0.0,63.75,1,1
2,0,1,1,0,0,0,44,2018,11,19,4,0,0.0,0.0,98.8,1,0
2,0,1,0,3,0,0,21,2018,11,6,4,0,0.0,0.0,100.0,2,1
2,0,0,1,0,0,0,179,2018,7,1,4,0,0.0,0.0,96.3,1,0
2,0,2,3,0,0,0,135,2017,8,1,4,0,0.0,0.0,76.5,3,1
2,0,1,2,0,0,0,61,2018,5,13,4,0,0.0,0.0,121.5,2,1
2,0,0,3,0,0,3,4,2018,3,24,4,0,0.0,0.0,162.67,1,1
2,0,1,2,0,0,3,142,2018,6,10,4,0,0.0,0.0,129.0,1,1
2,1,2,0,0,0,0,11,2018,5,22,4,0,0.0,0.0,159.0,3,1
1,0,0,1,0,0,0,65,2017,10,2,3,0,0.0,0.0,100.0,0,1
2,0,0,3,0,0,0,73,2018,7,6,4,0,0.0,0.0,90.78,1,1
3,0,1,1,0,0,3,63,2018,7,18,4,0,0.0,0.0,137.7,2,1
3,0,0,3,0,0,0,56,2018,11,3,4,0,0.0,0.0,103.86,0,1
2,0,1,1,3,0,0,82,2018,5,16,4,0,0.0,0.0,116.1,1,1
1,0,1,1,3,0,0,163,2018,10,8,4,0,0.0,0.0,91.63,1,1
2,0,3,5,0,0,3,5,2018,4,4,4,0,0.0,0.0,126.75,0,0
2,0,2,1,3,0,0,14,2018,2,13,4,0,0.0,0.0,79.0,1,1
2,0,2,2,0,0,3,36,2018,4,23,4,0,0.0,0.0,118.8,1,1
1,0,1,0,3,0,0,2,2018,5,9,4,0,0.0,0.0,89.0,1,1
2,2,0,4,0,0,5,0,2018,5,3,4,0,0.0,0.0,221.0,1,1
2,0,1,4,0,0,0,63,2018,4,25,3,0,0.0,0.0,87.98,0,0
1,0,0,3,0,0,0,4,2017,10,6,2,0,0.0,0.0,65.0,0,1
2,0,1,3,0,0,0,75,2018,3,28,4,0,0.0,0.0,82.45,0,1
1,0,1,1,0,0,0,45,2018,1,23,4,0,0.0,0.0,72.9,0,0
2,0,2,3,0,0,0,52,2018,4,9,3,0,0.0,0.0,80.75,0,1
3,0,2,5,0,0,3,144,2018,7,9,4,0,0.0,0.0,133.69,0,0
2,0,0,4,0,0,0,262,2018,9,13,4,0,0.0,0.0,100.3,0,0
2,0,1,4,0,0,0,57,2018,12,12,4,0,0.0,0.0,64.67,1,1
2,1,1,5,0,0,5,71,2018,11,8,4,0,0.0,0.0,155.49,1,1
1,0,2,1,0,0,0,72,2018,4,3,4,0,0.0,0.0,76.5,0,0
2,0,2,1,0,0,0,102,2018,5,29,3,0,0.0,0.0,80.75,0,0
2,1,0,2,0,0,3,120,2018,7,29,3,0,0.0,0.0,93.16,0,1
2,0,1,3,0,0,0,136,2018,3,24,4,0,0.0,0.0,68.55,0,1
2,0,2,3,0,0,3,16,2018,12,22,4,0,0.0,0.0,77.53,0,1
2,0,1,3,0,0,3,64,2018,4,18,4,0,0.0,0.0,110.08,0,0
2,0,0,5,0,0,0,63,2017,10,27,4,0,0.0,0.0,72.25,3,1
3,0,2,2,0,0,3,39,2018,9,9,4,0,0.0,0.0,168.3,1,1
2,2,0,2,0,0,5,77,2018,8,9,4,0,0.0,0.0,198.9,0,1
1,0,2,5,0,0,1,20,2017,9,1,3,0,0.0,0.0,85.5,1,1
2,0,1,3,1,0,0,157,2018,9,5,4,0,0.0,0.0,161.1,2,0
2,0,2,4,0,0,0,122,2018,5,4,4,0,0.0,0.0,99.45,0,0
2,0,0,3,0,0,0,41,2018,6,21,4,0,0.0,0.0,76.92,1,1
2,0,2,4,0,0,3,82,2018,4,9,4,0,0.0,0.0,99.45,1,1
1,0,2,2,0,0,3,3,2018,9,18,0,0,0.0,0.0,110.0,0,1
2,2,2,5,1,0,5,71,2018,4,3,4,0,0.0,0.0,203.76,0,0
3,0,0,2,0,0,3,180,2018,8,23,4,0,0.0,0.0,137.7,0,0
2,0,0,1,3,0,0,1,2018,8,17,4,0,0.0,0.0,128.0,0,1
2,0,1,1,3,0,0,22,2018,3,21,4,0,0.0,0.0,129.0,0,0
1,0,0,1,0,0,0,6,2018,4,7,0,0,0.0,0.0,95.0,0,1
2,0,1,4,1,0,0,197,2018,12,21,3,0,0.0,0.0,113.4,0,1
2,0,2,2,0,0,4,8,2018,10,7,4,0,0.0,0.0,176.0,0,0
2,0,0,1,0,0,0,40,2018,10,19,3,0,0.0,0.0,85.5,0,1
2,0,0,3,0,0,0,98,2017,12,29,3,0,0.0,0.0,59.5,2,1
2,0,2,1,0,0,3,8,2018,5,21,4,0,0.0,0.0,132.6,2,1
2,0,1,3,0,0,3,184,2018,10,17,4,0,0.0,0.0,128.7,2,0
2,0,1,0,3,0,0,32,2018,8,28,4,0,0.0,0.0,99.0,1,1
